league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes
ENG-Premier League,2425,Liverpool,2024-08-17 Ipswich Town-Liverpool,2024-08-17,12:30:00,Matchweek 1,Sat,Away,W,2,0,Ipswich Town,2.6,0.5,62,30014,Virgil van Dijk,4-2-3-1,4-2-3-1,Tim Robinson,/en/matches/a1d0d529/Ipswich-Town-Liverpool-August-17-2024-Premier-League,
ENG-Premier League,2425,Liverpool,2024-08-25 Liverpool-Brentford,2024-08-25,16:30:00,Matchweek 2,Sun,Home,W,2,0,Brentford,2.5,0.5,62,60017,Virgil van Dijk,4-2-3-1,4-4-2,Stuart Attwell,/en/matches/09b1742e/Liverpool-Brentford-August-25-2024-Premier-League,
ENG-Premier League,2425,Liverpool,2024-09-01 Manchester Utd-Liverpool,2024-09-01,16:00:00,Matchweek 3,Sun,Away,W,3,0,Manchester Utd,1.8,1.4,47,73738,Virgil van Dijk,4-2-3-1,4-2-3-1,Anthony Taylor,/en/matches/a7ab7a12/North-West-Derby-Manchester-United-Liverpool-September-1-2024-Premier-League,
ENG-Premier League,2425,Liverpool,2024-09-14 Liverpool-Nott'ham Forest,2024-09-14,15:00:00,Matchweek 4,Sat,Home,L,0,1,Nott'ham Forest,0.9,0.4,68,60344,Virgil van Dijk,4-2-3-1,4-2-3-1,Michael Oliver,/en/matches/674bfe9e/Liverpool-Nottingham-Forest-September-14-2024-Premier-League,
ENG-Premier League,2425,Liverpool,2024-09-21 Liverpool-Bournemouth,2024-09-21,15:00:00,Matchweek 5,Sat,Home,W,3,0,Bournemouth,2.0,1.1,58,60347,Virgil van Dijk,4-2-3-1,4-2-3-1,Tony Harrington,/en/matches/32a9539b/Liverpool-Bournemouth-September-21-2024-Premier-League,
ENG-Premier League,2425,Liverpool,2024-09-28 Wolves-Liverpool,2024-09-28,17:30:00,Matchweek 6,Sat,Away,W,2,1,Wolves,2.5,0.6,55,31413,Virgil van Dijk,4-2-3-1,4-1-4-1,Anthony Taylor,/en/matches/f2633f1d/Wolverhampton-Wanderers-Liverpool-September-28-2024-Premier-League,
ENG-Premier League,2425,Liverpool,2024-10-05 Crystal Palace-Liverpool,2024-10-05,12:30:00,Matchweek 7,Sat,Away,W,1,0,Crystal Palace,1.4,0.6,68,25185,Virgil van Dijk,4-2-3-1,3-4-3,Simon Hooper,/en/matches/49ea224b/Crystal-Palace-Liverpool-October-5-2024-Premier-League,
ENG-Premier League,2425,Liverpool,2024-10-20 Liverpool-Chelsea,2024-10-20,16:30:00,Matchweek 8,Sun,Home,W,2,1,Chelsea,1.9,1.0,43,60277,Virgil van Dijk,4-2-3-1,4-2-3-1,John Brooks,/en/matches/99b4737c/Liverpool-Chelsea-October-20-2024-Premier-League,
ENG-Premier League,2425,Liverpool,2024-10-27 Arsenal-Liverpool,2024-10-27,16:30:00,Matchweek 9,Sun,Away,D,2,2,Arsenal,0.8,0.9,55,60383,Virgil van Dijk,4-2-3-1,4-4-2,Anthony Taylor,/en/matches/68aa1099/Arsenal-Liverpool-October-27-2024-Premier-League,
ENG-Premier League,2425,Liverpool,2024-11-02 Liverpool-Brighton,2024-11-02,15:00:00,Matchweek 10,Sat,Home,W,2,1,Brighton,1.6,1.0,49,60331,Virgil van Dijk,4-2-3-1,4-4-2,Tony Harrington,/en/matches/7d114c70/Liverpool-Brighton-and-Hove-Albion-November-2-2024-Premier-League,
ENG-Premier League,2425,Liverpool,2024-11-09 Liverpool-Aston Villa,2024-11-09,20:00:00,Matchweek 11,Sat,Home,W,2,0,Aston Villa,2.0,1.2,62,60292,Virgil van Dijk,4-2-3-1,4-2-3-1,David Coote,/en/matches/737af5bf/Liverpool-Aston-Villa-November-9-2024-Premier-League,
ENG-Premier League,2425,Liverpool,2024-11-24 Southampton-Liverpool,2024-11-24,14:00:00,Matchweek 12,Sun,Away,W,3,2,Southampton,3.1,1.3,62,31278,Virgil van Dijk,4-2-3-1,5-4-1,Samuel Barrott,/en/matches/eb6f8e39/Southampton-Liverpool-November-24-2024-Premier-League,
ENG-Premier League,2425,Liverpool,2024-12-01 Liverpool-Manchester City,2024-12-01,16:00:00,Matchweek 13,Sun,Home,W,2,0,Manchester City,3.4,0.8,44,60248,Virgil van Dijk,4-2-3-1,4-2-3-1,Chris Kavanagh,/en/matches/0bd6ad44/Liverpool-Manchester-City-December-1-2024-Premier-League,
