element_type,ep_next,ep_this,event_points,form,id,news,news_added,now_cost,points_per_game,selected_by_percent,status,team,team_code,total_points,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,creativity_rank,threat_rank,ict_index_rank,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,position,goal_involvements,money_value,performance
FWD,1.7,2.2,1,0.7,2,,2024-08-25T11:00:05.312580Z,6.8,0.6,1.0,a,Arsenal,3,3,0.1,0.4,G.Jesus,78,0,0,0,2,0,0,0,2,0,0,0,18,14.0,32.3,33.0,7.9,1,0.49,0.06,0.55,1.29,347,216,185,281,,,,0.57,0.0,0.07,0.64,1.49,2.31,1.15,0.0,Forward,0.0,0.4411764705882353,-0.55
DEF,4.3,4.8,2,3.3,3,,,6.2,5.6,27.8,a,Arsenal,3,39,0.5,6.3,Gabriel,630,2,0,3,6,0,0,0,1,0,0,4,131,194.8,36.6,165.0,39.6,7,1.47,0.15,1.62,7.45,19,199,31,39,,,,0.21,0.0,0.02,0.23,1.06,0.86,1.0,0.43,Defender,2.0,6.290322580645161,0.3799999999999999
FWD,4.7,6.8,8,5.3,4,Knee injury - 75% chance of playing,2024-10-07T17:00:06.956493Z,8.3,5.7,19.3,d,Arsenal,3,40,0.6,4.8,Havertz,630,4,1,3,6,0,0,0,0,0,0,7,156,209.2,83.8,326.0,61.9,7,4.29,0.20,4.49,7.45,16,98,4,9,,,3.0,0.61,0.0,0.03,0.64,1.06,0.86,1.0,0.43,Forward,5.0,4.8192771084337345,0.5099999999999998
DEF,2.2,2.6,0,2.0,6,Muscle injury - 75% chance of playing,2024-10-04T13:30:05.569185Z,5.5,3.2,1.7,d,Arsenal,3,19,0.4,3.5,J.Timber,448,0,1,2,4,0,0,0,2,0,0,0,77,87.2,100.0,32.0,21.8,5,0.28,0.17,0.45,5.56,158,70,187,133,,,,0.06,0.0,0.03,0.09,1.12,0.8,1.0,0.4,Defender,1.0,3.4545454545454546,0.55
MID,1.7,2.2,2,0.7,7,,,4.8,2.0,0.3,a,Arsenal,3,4,0.1,0.8,Jorginho,150,0,0,1,1,0,0,0,1,0,0,0,17,4.4,21.3,1.0,2.7,2,0.04,0.14,0.18,1.06,389,249,357,360,,,,0.02,0.0,0.08,0.1,0.64,0.6,1.2,0.6,Midfielder,0.0,0.8333333333333334,-0.18
DEF,1.7,2.2,1,0.7,8,,,4.8,1.0,0.2,a,Arsenal,3,2,0.1,0.4,Kiwior,17,0,0,0,1,0,0,0,0,0,0,0,2,7.6,0.3,0.0,0.8,0,0.00,0.00,0.0,1.03,375,389,592,405,,,,0.0,0.0,0.0,0.0,5.45,5.29,0.0,0.0,Defender,0.0,0.4166666666666667,0.0
MID,6.8,9.5,6,8.0,9,Calf injury - 75% chance of playing,2024-10-18T16:00:06.884775Z,7.0,4.9,4.6,d,Arsenal,3,34,1.1,4.9,Martinelli,438,2,2,3,3,0,0,0,0,0,0,3,129,155.8,146.6,167.0,46.8,5,1.05,1.39,2.44,4.98,47,35,30,27,,,,0.22,0.0,0.29,0.51,1.02,0.62,1.03,0.62,Midfielder,4.0,4.857142857142857,1.56
MID,1.3,1.8,0,0.3,12,,,4.5,1.0,0.3,a,Arsenal,3,2,0.1,0.4,Nwaneri,9,0,0,0,0,0,0,0,0,0,0,0,11,14.4,11.4,15.0,4.1,0,0.02,0.16,0.18,0.09,343,301,235,333,,,,0.2,0.0,1.6,1.8,0.9,0.0,0.0,0.0,Midfielder,0.0,0.4444444444444444,-0.18
GKP,3.3,3.8,2,2.3,15,,2024-09-25T21:30:06.211210Z,5.7,5.1,32.3,a,Arsenal,3,36,0.4,6.3,Raya,630,0,0,3,6,0,0,0,1,0,25,6,124,212.6,0.0,0.0,21.3,7,0.00,0.01,0.01,7.45,13,657,655,144,,,,0.0,3.57,0.0,0.0,1.06,0.86,1.0,0.43,Goalkeeper,0.0,6.315789473684211,-0.01
MID,2.7,3.2,2,1.7,16,,2024-08-31T21:00:04.536499Z,6.3,1.3,2.9,a,Arsenal,3,8,0.3,1.3,Rice,492,0,0,2,6,0,0,0,2,1,0,0,56,72.8,111.9,67.0,24.6,6,0.39,0.62,1.01,4.81,184,54,105,109,2.0,2.0,,0.07,0.0,0.11,0.18,0.88,1.1,1.1,0.37,Midfielder,0.0,1.2698412698412698,-1.01
